美屬薩摩亞,American Samoa,UTC -11:00,--,
紐埃,Niue,UTC -11:00,--,
紐西蘭 托克勞群島,Tokelau,UTC -11:00,--,
庫克群島,Cook Islands,UTC -10:00,--,
法屬玻里尼西亞-HAST,French Polynesia-HAST,UTC -10:00,--,社會群島、土阿莫土群島、南方群島
美國 夏威夷,State of Hawaii,UTC -10:00,--,
法屬玻里尼西亞-馬克薩斯群島,French Polynesia-Marquesas Islands,UTC -9:30,--,馬克薩斯群島
美國阿拉斯加州,Alaska,UTC -9:00,UTC -8:00,
法屬玻里尼西亞-甘比爾群島,French Polynesia-Gambier Islands,UTC -9:00,--,甘比爾群島
加拿大-太平洋時間,Canada-PST,UTC -8:00,UTC -7:00,太平洋時間 (英屬哥倫比亞省西部、西北地方Tungsten、育空地區)
墨西哥-西北區,Mexico-PST,UTC -8:00,UTC -7:00,西北區 (下加利福尼亞州)
美國-太平洋時間,USA-PST,UTC -8:00,UTC -7:00,太平洋時間 (加州、愛德荷州、內華達州、奧勒岡州、華盛頓州)
加拿大-山區時間,Canada-MST,UTC -7:00,UTC -6:00,山區時間 (亞伯達省、英屬哥倫比亞省東部、西北地方、努勒維特地區西部、薩克其萬省)
墨西哥-太平洋區,Mexico-MST,UTC -7:00,UTC -6:00,太平洋區 (南下加利福尼亞州、奇瓦瓦州、納亞里特州、錫那羅亞州、索諾拉州)
美國-山區時間 ,USA-MST,UTC -7:00,UTC -6:00,山區時間 (亞利桑那州、科羅拉多州、愛德荷州南部、蒙大拿州、內布拉斯加州西部、新墨西哥州、北達科他州西部、南達科他州、猶他州、懷俄明州)
貝里斯,Belize,UTC -6:00,--,
加拿大-中區時間,Canada-CST,UTC -6:00,UTC -5:00,"中部時間 (曼尼托巴省、努勒維特區中部、努勒維特區東部, 安大略省西部, 薩克其萬省)"
智利 復活節島,Easter Island,UTC -6:00,UTC -5:00,
墨西哥-中央區,Mexico-CST,UTC -6:00,UTC -5:00,中央區
哥斯大黎加,Republic of Costa Rica,UTC -6:00,--,
薩爾瓦多,Republic of El Salvador,UTC -6:00,--,
瓜地馬拉,Republic of Guatemala,UTC -6:00,--,
宏都拉斯,Republic of Honduras,UTC -6:00,--,
尼加拉瓜,Republic of Nicaragua,UTC -6:00,--,
美國-中部時間,USA-CST,UTC -6:00,UTC -5:00,中部時間 (阿拉巴馬州、阿肯色州、伊利諾斯州、愛阿華州、堪薩斯州、肯塔基州西部、路易西安納州、明尼蘇達州、密西西比州、密蘇里州、內布拉斯加州東部、北達科他州、奧克拉荷馬州、南達科他州東部、田納西州中西部、德克薩斯州、威斯康辛州)
開曼群島,British Cayman Islands,UTC -5:00,--,
加拿大-東區時間,Canada-EST,UTC -5:00,UTC -4:00,東部時間 (努勒維特區東部、安大略省東部、魁北克省)
巴哈馬,Commonwealth of the Bahamas,UTC -5:00,UTC -4:00,
牙買加,Jamaica,UTC -5:00,--,
哥倫比亞,Republic of Colombia,UTC -5:00,--,
古巴,Republic of Cuba,UTC -5:00,UTC -4:00,
厄瓜多,Republic of Ecuador,UTC -5:00,--,
海地,Republic of Haiti,UTC -5:00,UTC -4:00,
巴拿馬,Republic of Panama,UTC -5:00,--,
秘魯,Republic of Peru,UTC -5:00,--,
特克斯和凱科斯群島,Turks and Caicos Islands,UTC -5:00,--,
美國-東部時間,USA-EST,UTC -5:00,UTC -4:00,東部時間 (康乃狄克州、德拉瓦州、華盛頓特區、佛羅里達州、喬治亞州、印第安納州、肯塔基州東部、緬因州、馬里蘭州、麻薩諸塞州、密西根州、新罕布夏州、紐澤西州、紐約州、北卡羅來納州、俄亥俄州、賓夕法尼亞州、羅德艾蘭州、南卡羅萊那州、田納西州東部、佛蒙特州、維吉尼亞州、西維吉尼亞州)
委內瑞拉,Bolivarian Republic of Venezuela,UTC -4:30,--,
安圭拉,Anguilla,UTC -4:00,--,
安地卡及巴布達,Antigua and Barbuda,UTC -4:00,--,
阿魯巴,Aruba,UTC -4:00,--,
巴貝多,Barbados,UTC -4:00,--,
百慕達,Bermuda Islands,UTC -4:00,UTC -3:00,
英屬維京群島,British Virgin Islands,UTC -4:00,--,
加拿大-大西洋時間,Canada-AST,UTC -4:00,UTC -3:00,大西洋時間 (拉布拉多、新伯倫瑞克省、新斯科細亞、愛德華王子島省、魁北克省東部)
多米尼克,Commonwealth of Dominica,UTC -4:00,--,
波多黎各,Commonwealth of Puerto Rico,UTC -4:00,--,
蓋亞納,Co-operative Republic of Guyana,UTC -4:00,--,
丹麥-西北部,Denmark-AST,UTC -4:00,UTC -3:00,西北部的 Qaanaaq 地區
多明尼加,Dominican Republic,UTC -4:00,--,
福克蘭群島,Falkland Islands,UTC -4:00,UTC -3:00,
聖克里斯多福,Federation of Saint Christopher and Nevis,UTC -4:00,--,
巴西-巴西利亞時間-1,Federative Republic of Brazil-Braslia-1,UTC -4:00,UTC -3:00,巴西利亞時間 -1 (亞馬遜雨林區)
格瑞那達,Grenada,UTC -4:00,--,
